DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle;TotalTimeWatched_Hours;DayOfWeekName
2021/01/29;F2CI4KOVM23ILX8X0PHIGNEI006P;180;Leanback;LiveTV;Unknown;3;Friday
2021/01/29;F7JB8OC5CBDX0Z5P8TO13DKZ0047;5340;Leanback;LiveTV;Unknown;89;Friday
2021/01/30;0GDI0BIILZ0A3LJJKGKV8K55002G;1800;Leanback;LiveTV;DStv Prem 20/21: Pirates v Chiefs;30;Saturday
2021/01/31;DMMVDBZFDT1F7WL4BGWQ5KOJ000G;6300;Web;Catch Up;Tomorrow Never Dies;105;Sunday
2021/01/31;L7ABEYZ3193JKF0YD79867KH000W;10020;Leanback;LiveTV;Unknown;167;Sunday
2021/02/02;5TEQ1XN0EY5QDCMN4FOQGGWZ006T;60;Leanback;LiveTV;show information is currently not available;1;Tuesday
2021/02/06;JLP8HMRSERRT7SHE2L7V8177004S;22;iOS;LiveTV;Int CRI '21: PAK v RSA 2nd Test D3;0.36666666666666664;Saturday
2021/01/26;D2SD1S8CBM19HUMYC5UCDA0T004G;2220;Android;LiveTV;Unknown;37;Tuesday
2021/01/30;IZMILVQDEUXP80EC6CRE34US0067;5220;Web;LiveTV;Buried: Knights Templar Revealed;87;Saturday
2021/01/30;3H7R362H1YD1EYF822TSBSL4005B;240;Leanback;LiveTV;Unknown;4;Saturday
2021/01/31;8DCNAI3T3JCZDCORDUW90F1W0047;2160;Leanback;LiveTV;Unknown;36;Sunday
2021/02/01;JAT8LGNK3SQKLYVX3M22KO3H0062;2460;Leanback;Other;The Masked Singer;41;Monday
2021/02/02;JLP8HMRSERRT7SHE2L7V8177004S;1920;Leanback;Other;The Sisterhood;32;Tuesday
2021/02/03;6ZQO2SZXJIGU990MDKJQ63SN0045;6979;Web;LiveTV;Wheeler Dealers;116.31666666666666;Wednesday
2021/02/03;ADFQJ9FVBIWSIYQ8G7PR21HX0042;6352;Leanback;Catch Up;Killer Elite;105.86666666666666;Wednesday
2021/02/03;J9SV7TJOF4IWHK62DA5W2PU30034;2737;Leanback;Other;Umndeni;45.61666666666667;Wednesday
2021/02/04;7Y131H7DGPFOM2JXFQ19EZ6A006N;3660;Leanback;LiveTV;Unknown;61;Thursday
2021/02/04;IA1OBXACFK813UQS4EHBBZFV004M;236;Web;LiveTV;Machine Gun Preacher;3.933333333333333;Thursday
2021/02/05;69EG35TC3VY0HNLP1MT5AOB10025;3371;Web;LiveTV;The Outpost;56.18333333333333;Friday
